case,label,filename,fresh_lightning
0,3,./output_gld360_70deg_720min/clean_lightning/201906/S5P_PAL__L2__NO2____20190617T181339_20190617T195509_08688_01_020301.nc,1063
0,3,./output_gld360_70deg_720min/clean_lightning/201906/S5P_PAL__L2__NO2____20190617T195509_20190617T213639_08689_01_020301.nc,497
1,2,./output_gld360_70deg_720min/clean_lightning/201906/S5P_PAL__L2__NO2____20190620T153502_20190620T171632_08729_01_020301.nc,1801
1,2,./output_gld360_70deg_720min/clean_lightning/201906/S5P_PAL__L2__NO2____20190620T171632_20190620T185802_08730_01_020301.nc,103
1,2,./output_gld360_70deg_720min/clean_lightning/201906/S5P_PAL__L2__NO2____20190620T185802_20190620T203931_08731_01_020301.nc,192
1,2,./output_gld360_70deg_720min/clean_lightning/201906/S5P_PAL__L2__NO2____20190620T203931_20190620T222101_08732_01_020301.nc,1477
1,2,./output_gld360_70deg_720min/clean_lightning/201906/S5P_PAL__L2__NO2____20190620T222101_20190621T000231_08733_01_020301.nc,778
2,2,./output_gld360_70deg_720min/clean_lightning/201906/S5P_PAL__L2__NO2____20190626T170344_20190626T184514_08815_01_020301.nc,5579
2,1,./output_gld360_70deg_720min/clean_lightning/201906/S5P_PAL__L2__NO2____20190626T184514_20190626T202644_08816_01_020301.nc,7694
2,1,./output_gld360_70deg_720min/clean_lightning/201906/S5P_PAL__L2__NO2____20190626T202644_20190626T220813_08817_01_020301.nc,631
3,2,./output_gld360_70deg_720min/clean_lightning/201907/S5P_PAL__L2__NO2____20190705T040312_20190705T054442_08935_01_020301.nc,279
3,3,./output_gld360_70deg_720min/clean_lightning/201907/S5P_PAL__L2__NO2____20190705T054442_20190705T072612_08936_01_020301.nc,106
4,3,./output_gld360_70deg_720min/clean_lightning/201907/S5P_PAL__L2__NO2____20190705T072612_20190705T090741_08937_01_020301.nc,9767
4,2,./output_gld360_70deg_720min/clean_lightning/201907/S5P_PAL__L2__NO2____20190705T090741_20190705T104911_08938_01_020301.nc,1923
5,1,./output_gld360_70deg_720min/clean_lightning/201907/S5P_PAL__L2__NO2____20190709T180022_20190709T194151_09000_01_020301.nc,310
5,1,./output_gld360_70deg_720min/clean_lightning/201907/S5P_PAL__L2__NO2____20190709T194151_20190709T212321_09001_01_020301.nc,25
6,3,./output_gld360_70deg_720min/clean_lightning/201907/S5P_PAL__L2__NO2____20190710T004620_20190710T022750_09004_01_020301.nc,1295
6,3,./output_gld360_70deg_720min/clean_lightning/201907/S5P_PAL__L2__NO2____20190710T022750_20190710T040920_09005_01_020301.nc,19282
6,2,./output_gld360_70deg_720min/clean_lightning/201907/S5P_PAL__L2__NO2____20190710T040920_20190710T055049_09006_01_020301.nc,21137
7,8,./output_gld360_70deg_720min/clean_lightning/201907/S5P_PAL__L2__NO2____20190711T135914_20190711T154043_09026_01_020301.nc,226
7,7,./output_gld360_70deg_720min/clean_lightning/201907/S5P_PAL__L2__NO2____20190711T154043_20190711T172213_09027_01_020301.nc,59
7,7,./output_gld360_70deg_720min/clean_lightning/201907/S5P_PAL__L2__NO2____20190711T172213_20190711T190343_09028_01_020301.nc,24
7,2,./output_gld360_70deg_720min/clean_lightning/201907/S5P_PAL__L2__NO2____20190711T190343_20190711T204513_09029_01_020301.nc,47
7,2,./output_gld360_70deg_720min/clean_lightning/201907/S5P_PAL__L2__NO2____20190711T204513_20190711T222642_09030_01_020301.nc,52
7,1,./output_gld360_70deg_720min/clean_lightning/201907/S5P_PAL__L2__NO2____20190711T222642_20190712T000812_09031_01_020301.nc,21
8,6,./output_gld360_70deg_720min/clean_lightning/201907/S5P_PAL__L2__NO2____20190711T190343_20190711T204513_09029_01_020301.nc,486
8,5,./output_gld360_70deg_720min/clean_lightning/201907/S5P_PAL__L2__NO2____20190711T204513_20190711T222642_09030_01_020301.nc,201
9,2,./output_gld360_70deg_720min/clean_lightning/201907/S5P_PAL__L2__NO2____20190720T060307_20190720T074436_09149_01_020301.nc,527
9,3,./output_gld360_70deg_720min/clean_lightning/201907/S5P_PAL__L2__NO2____20190720T074436_20190720T092606_09150_01_020301.nc,35
10,1,./output_gld360_70deg_720min/clean_lightning/201907/S5P_PAL__L2__NO2____20190721T003933_20190721T022103_09160_01_020301.nc,10830
10,1,./output_gld360_70deg_720min/clean_lightning/201907/S5P_PAL__L2__NO2____20190721T022103_20190721T040232_09161_01_020301.nc,2635
10,1,./output_gld360_70deg_720min/clean_lightning/201907/S5P_PAL__L2__NO2____20190721T040232_20190721T054402_09162_01_020301.nc,3723
10,1,./output_gld360_70deg_720min/clean_lightning/201907/S5P_PAL__L2__NO2____20190721T054402_20190721T072532_09163_01_020301.nc,991
11,1,./output_gld360_70deg_720min/clean_lightning/201908/S5P_PAL__L2__NO2____20190810T212136_20190810T230306_09456_01_020301.nc,257
11,1,./output_gld360_70deg_720min/clean_lightning/201908/S5P_PAL__L2__NO2____20190810T230306_20190811T004435_09457_01_020301.nc,278
11,1,./output_gld360_70deg_720min/clean_lightning/201908/S5P_PAL__L2__NO2____20190811T004435_20190811T022605_09458_01_020301.nc,101
11,1,./output_gld360_70deg_720min/clean_lightning/201908/S5P_PAL__L2__NO2____20190811T022605_20190811T040734_09459_01_020301.nc,141
12,4,./output_gld360_70deg_720min/clean_lightning/202106/S5P_PAL__L2__NO2____20210619T035656_20210619T053826_19079_01_020301.nc,2664
12,3,./output_gld360_70deg_720min/clean_lightning/202106/S5P_PAL__L2__NO2____20210619T053826_20210619T071956_19080_01_020301.nc,4124
13,1,./output_gld360_70deg_720min/clean_lightning/202106/S5P_PAL__L2__NO2____20210626T165707_20210626T183837_19186_01_020301.nc,3583
13,1,./output_gld360_70deg_720min/clean_lightning/202106/S5P_PAL__L2__NO2____20210626T183837_20210626T202007_19187_01_020301.nc,1487
14,2,./output_gld360_70deg_720min/clean_lightning/202107/S5P_PAL__L2__NO2____20210706T001440_20210706T015610_19318_02_020301.nc,27867
14,2,./output_gld360_70deg_720min/clean_lightning/202107/S5P_PAL__L2__NO2____20210706T015610_20210706T033739_19319_02_020301.nc,61548
14,2,./output_gld360_70deg_720min/clean_lightning/202107/S5P_PAL__L2__NO2____20210706T033739_20210706T051909_19320_02_020301.nc,112339
14,1,./output_gld360_70deg_720min/clean_lightning/202107/S5P_PAL__L2__NO2____20210706T051909_20210706T070039_19321_02_020301.nc,52108
14,1,./output_gld360_70deg_720min/clean_lightning/202107/S5P_PAL__L2__NO2____20210706T070039_20210706T084209_19322_02_020301.nc,47521
14,1,./output_gld360_70deg_720min/clean_lightning/202107/S5P_PAL__L2__NO2____20210706T084209_20210706T102339_19323_02_020301.nc,12343
15,1,./output_gld360_70deg_720min/clean_lightning/202107/S5P_PAL__L2__NO2____20210712T151515_20210712T165645_19412_02_020301.nc,237
15,1,./output_gld360_70deg_720min/clean_lightning/202107/S5P_PAL__L2__NO2____20210712T165645_20210712T183814_19413_02_020301.nc,584
15,1,./output_gld360_70deg_720min/clean_lightning/202107/S5P_PAL__L2__NO2____20210712T183814_20210712T201944_19414_02_020301.nc,379
15,1,./output_gld360_70deg_720min/clean_lightning/202107/S5P_PAL__L2__NO2____20210712T201944_20210712T220114_19415_02_020301.nc,53
16,4,./output_gld360_70deg_720min/clean_lightning/202107/S5P_PAL__L2__NO2____20210723T215423_20210723T233553_19572_02_020301.nc,1705
16,4,./output_gld360_70deg_720min/clean_lightning/202107/S5P_PAL__L2__NO2____20210723T233553_20210724T011722_19573_02_020301.nc,217
17,5,./output_gld360_70deg_720min/clean_lightning/202107/S5P_PAL__L2__NO2____20210729T012325_20210729T030455_19645_02_020301.nc,44
17,6,./output_gld360_70deg_720min/clean_lightning/202107/S5P_PAL__L2__NO2____20210729T030455_20210729T044624_19646_02_020301.nc,135
18,1,./output_gld360_70deg_720min/clean_lightning/202107/S5P_PAL__L2__NO2____20210729T163652_20210729T181821_19654_02_020301.nc,3293
18,1,./output_gld360_70deg_720min/clean_lightning/202107/S5P_PAL__L2__NO2____20210729T181821_20210729T195951_19655_02_020301.nc,1908
18,1,./output_gld360_70deg_720min/clean_lightning/202107/S5P_PAL__L2__NO2____20210729T195951_20210729T214121_19656_02_020301.nc,1650
18,1,./output_gld360_70deg_720min/clean_lightning/202107/S5P_PAL__L2__NO2____20210729T214121_20210729T232250_19657_02_020301.nc,424
19,5,./output_gld360_70deg_720min/clean_lightning/202107/S5P_PAL__L2__NO2____20210729T195951_20210729T214121_19656_02_020301.nc,56256
19,5,./output_gld360_70deg_720min/clean_lightning/202107/S5P_PAL__L2__NO2____20210729T214121_20210729T232250_19657_02_020301.nc,6043
20,2,./output_gld360_70deg_720min/clean_lightning/202108/S5P_PAL__L2__NO2____20210801T020738_20210801T034908_19688_02_020301.nc,1191
20,1,./output_gld360_70deg_720min/clean_lightning/202108/S5P_PAL__L2__NO2____20210801T034908_20210801T053037_19689_02_020301.nc,1475
21,1,./output_gld360_70deg_720min/clean_lightning/202006/S5P_PAL__L2__NO2____20200615T142534_20200615T160704_13850_01_020301.nc,3081
21,1,./output_gld360_70deg_720min/clean_lightning/202006/S5P_PAL__L2__NO2____20200615T160704_20200615T174834_13851_01_020301.nc,270
