case,label,filename,fresh_lightning
0,2,./output_gld360_70deg_720min/clean_lightning/201906/S5P_PAL__L2__NO2____20190627T233040_20190628T011210_08833_01_020301.nc,0
1,1,./output_gld360_70deg_720min/clean_lightning/201908/S5P_PAL__L2__NO2____20190814T200510_20190814T214640_09512_01_020301.nc,0
1,1,./output_gld360_70deg_720min/clean_lightning/201908/S5P_PAL__L2__NO2____20190814T214640_20190814T232810_09513_01_020301.nc,0
2,1,./output_gld360_70deg_720min/clean_lightning/202107/S5P_PAL__L2__NO2____20210711T084820_20210711T102950_19394_02_020301.nc,276
2,1,./output_gld360_70deg_720min/clean_lightning/202107/S5P_PAL__L2__NO2____20210711T102950_20210711T121120_19395_02_020301.nc,1
3,1,./output_gld360_70deg_720min/clean_lightning/202006/S5P_PAL__L2__NO2____20200609T161943_20200609T180113_13766_01_020301.nc,0
3,1,./output_gld360_70deg_720min/clean_lightning/202006/S5P_PAL__L2__NO2____20200609T180113_20200609T194243_13767_01_020301.nc,0
4,1,./output_gld360_70deg_720min/clean_lightning/202006/S5P_PAL__L2__NO2____20200615T193004_20200615T211134_13853_01_020301.nc,31
4,1,./output_gld360_70deg_720min/clean_lightning/202006/S5P_PAL__L2__NO2____20200615T211134_20200615T225304_13854_01_020301.nc,2
5,1,./output_gld360_70deg_720min/clean_lightning/202007/S5P_PAL__L2__NO2____20200715T182546_20200715T200716_14278_01_020301.nc,3
5,1,./output_gld360_70deg_720min/clean_lightning/202007/S5P_PAL__L2__NO2____20200715T200716_20200715T214846_14279_01_020301.nc,0
